sigma acceleration 0.0001
sigma position 0.5
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13839 0.13839 0.13839
gain 0.216779 0.216779 0.216779
dpred 0.10839 0.10839 0.10839
dpred 0.13842 0.13842 0.13842
gain 0.216816 0.216816 0.216816
dpred 0.108408 0.108408 0.108408
dpred 0.147408 0.147408 0.147408
gain 0.22769 0.22769 0.22769
dpred 0.113845 0.113845 0.113845
dpred 0.152845 0.152845 0.152845
gain 0.234121 0.234121 0.234121
dpred 0.117061 0.117061 0.117061
dpred 0.156061 0.156061 0.156061
gain 0.237875 0.237875 0.237875
dpred 0.118938 0.118938 0.118938
dpred 0.157938 0.157938 0.157938
gain 0.24005 0.24005 0.24005
dpred 0.120025 0.120025 0.120025
dpred 0.159025 0.159025 0.159025
gain 0.241303 0.241303 0.241303
dpred 0.120652 0.120652 0.120652
dpred 0.159652 0.159652 0.159652
gain 0.242024 0.242024 0.242024
dpred 0.121012 0.121012 0.121012
dpred 0.160012 0.160012 0.160012
gain 0.242438 0.242438 0.242438
dpred 0.121219 0.121219 0.121219
dpred 0.160219 0.160219 0.160219
gain 0.242676 0.242676 0.242676
